product_id,product_name,manufacturer,molecule,therapeutic_area,reference_product,product_type,region,approval_status,interchangeability_status,quality_score,comparability_score,safety_score,efficacy_score,regulatory_score,overall_legitimacy_score,pk_pd_similarity_pct,structural_similarity_pct,analytical_similarity_pct,clinical_equivalence_pct,batch_consistency_pct,immunogenicity_rate_pct,adverse_event_rate_per_1000,serious_ae_rate_per_1000,discontinuation_rate_pct,side_effect_profile,opinion
BIO-001,Adalimumab Biosimilar A,BioComp Pharma,Adalimumab,Immunology,Humira,candidate,EU,Under regulatory review,Not yet established,91,92,89,90,88,90,96.5,97.2,95.8,93.1,96.8,1.4,12.8,1.6,4.5,Low to moderate,Strong comparable profile with acceptable safety signal
BIO-002,Insulin Glargine Biosimilar B,NovaBiologics,Insulin Glargine,Endocrinology,Lantus,candidate,US,Approved in selected markets,Approved interchangeability,94,95,92,91,93,93,98.1,98.7,97.3,95.8,98.5,1.1,11.4,1.1,3.8,Low,High-confidence biosimilarity with strong technical comparability
BIO-003,Trastuzumab Biosimilar C,OncoMimic Ltd,Trastuzumab,Oncology,Herceptin,candidate,US,Approved,Not approved,90,91,88,89,90,89,94.3,95.0,94.8,92.4,95.7,1.7,14.1,2.3,5.1,Moderate,Clinically comparable but monitoring for infusion reactions remains recommended
BIO-004,Etanercept Biosimilar D,CellCare Bio,Etanercept,Rheumatology,Enbrel,candidate,EU,Approved,Not yet established,89,90,87,88,86,88,93.6,94.5,93.4,91.5,94.9,1.8,15.2,2.0,5.8,Moderate,Good compatibility profile; further long-term safety evaluation is still useful
BIO-005,Rituximab Biosimilar E,BioGenome Solutions,Rituximab,Oncology,Rituxan,candidate,UK,Under regulatory review,Not approved,92,93,90,89,89,90,95.9,96.4,96.1,93.9,96.9,1.5,13.2,1.8,4.7,Low to moderate,Strong analytical and clinical comparability with manageable adverse-event burden
REF-001,Humira,AbbVie,Adalimumab,Immunology,Humira,originator,Global,Approved,Approved,95,96,93,95,96,95,100.0,100.0,100.0,100.0,99.3,1.3,11.2,1.2,3.7,Low,Reference product with established long-term safety and efficacy profile
REF-002,Lantus,Sanofi,Insulin Glargine,Endocrinology,Lantus,originator,Global,Approved,Approved,96,97,94,94,97,96,100.0,100.0,100.0,100.0,99.4,1.0,9.8,0.9,2.9,Low,Well-established reference product with a mature safety profile
REF-003,Herceptin,Roche,Trastuzumab,Oncology,Herceptin,originator,Global,Approved,Approved,95,96,92,96,97,95,100.0,100.0,100.0,100.0,99.1,1.5,13.7,2.1,5.2,Moderate,Benchmark oncology biologic with strong efficacy evidence and established risk management
REF-004,Enbrel,Amgen,Etanercept,Rheumatology,Enbrel,originator,Global,Approved,Approved,94,95,91,94,96,94,100.0,100.0,100.0,100.0,99.0,1.7,14.8,1.9,5.4,Moderate,Established rheumatology reference standard with strong clinical precedents
REF-005,Rituxan,Genentech,Rituximab,Oncology,Rituxan,originator,Global,Approved,Approved,95,96,92,95,97,95,100.0,100.0,100.0,100.0,99.2,1.2,12.9,1.7,4.3,Low to moderate,Long-standing benchmark product with well-characterized safety and efficacy
SIM-001,Amgevita,Amgen,Adalimumab,Immunology,Humira,similar_biologic,EU,Approved,Not approved,90,91,88,89,90,89,94.0,94.7,94.4,92.0,95.4,1.6,13.1,1.7,4.8,Low to moderate,Comparable to originator with acceptable safety and immunogenicity profile
SIM-002,Basaglar,Eli Lilly,Insulin Glargine,Endocrinology,Lantus,similar_biologic,US,Approved,Approved,92,93,90,90,92,91,95.7,96.2,95.2,94.1,96.0,1.2,10.9,1.0,3.6,Low,Strong similarity to reference with a favorable clinical tolerance profile
SIM-003,Ogivri,Mylan,Trastuzumab,Oncology,Herceptin,similar_biologic,US,Approved,Not approved,89,90,87,88,89,88,93.4,94.1,93.9,91.8,94.7,1.8,14.3,2.2,5.3,Moderate,Good biosimilarity but requires continued oncology monitoring
SIM-004,Erelzi,Sandoz,Etanercept,Rheumatology,Enbrel,similar_biologic,EU,Approved,Not approved,88,89,86,87,87,87,92.9,93.8,92.7,91.1,94.2,1.9,15.7,2.1,5.9,Moderate,Acceptable profile but with slightly higher observed tolerability concerns
SIM-005,Truxima,Celltrion,Rituximab,Oncology,Rituxan,similar_biologic,EU,Approved,Not approved,91,92,89,90,90,90,95.1,96.1,95.6,93.4,96.4,1.4,12.7,1.8,4.6,Low to moderate,A well-positioned biosimilar with strong comparability and manageable tolerability
